smiles_list,density,Rg,Scaled Rg,Cp,Cv,bulk_modulus,isentropic_bulk_modulus,r2,static_dielectric_const,dielectric_const_dc,nematic_order_parameter,refractive_index
*N=P(*)(Oc1ccc(C)cc1)Oc1ccc2ccccc2c1,1.225508964,15.01655608,0.066863771,2704.669562,2594.124028,2747899775,2864978608,15.11998387,1.166771579,2.942142017,0.098398667,1.665944308
*N=P(*)(Oc1ccc(C)cc1)Oc1ccc(C)c(C)c1,1.15172843,15.18396306,0.070812709,2776.481941,2692.848807,2551447410,2630346812,16.22478694,1.168393001,2.682941212,0.070752542,1.585732705
*N=P(*)(Oc1cccc(C)c1)Oc1ccc(C)c(C)c1,1.171412516,15.69314286,0.073187346,2735.094566,2702.759936,5285287351,5348488551,18.44840723,2.354878298,,0.083326354,
*N=P(*)(Oc1ccc(C)cc1)Oc1ccc(Cl)cc1Cl,1.329458172,16.71746197,0.063870886,2098.917763,2036.356993,2274106887,2343912767,16.56290979,1.145713611,2.608465448,0.062326026,1.569315723
*N=P(*)(OCCCCCC)Oc1ccc(-c2ccccc2)cc1,1.120034333,14.16598879,0.068210926,3164.041325,3042.157238,2468188700,2567029457,12.94757955,1.183320854,2.742421487,0.047169023,1.599718923
*N=P(*)(OCCCc1ccccc1)Oc1ccc2ccccc2c1,1.212694816,13.73001246,0.06349612,2960.338938,2781.141563,2951351445,3139259718,11.95057886,1.236501411,2.866821199,0.087406786,1.621826066
*N=P(*)(Oc1ccc(Cl)cc1)OC(Cl)C(F)(F)F,1.523451159,19.26885986,0.063229726,1781.606419,1700.809502,1478895985,1548641036,27.78683157,1.165449515,2.449767263,0.069956673,1.51139596
*N=P(*)(OCCCCC)OCc1ccc(-c2ccccc2)cc1,1.132690388,14.10687044,0.067926264,3083.039932,2959.832825,3370043351,3510321485,12.43662371,1.353465361,2.881004352,0.071559694,1.589823572
*N=P(*)(Oc1ccc(F)cc1)Oc1ccc(C)c(C)c1,1.213854723,14.95356449,0.065059205,2511.85839,2461.226216,1903863087,1942994998,15.57813078,1.137315443,2.545056888,0.05018688,1.551689868
*N=P(*)(OCCCCCC)Oc1cccc(-c2ccccc2)c1,1.122418151,13.91988919,0.067025927,3213.651811,3078.675356,2610615160,2725134326,12.53655264,1.231690833,2.752623948,0.108980646,1.587744663
